episode,epsilon,random_agent_wins,random_opponent_wins,random_draws,random_avg_turns,random_avg_agent_balance,heur_agent_wins,heur_opponent_wins,heur_draws,heur_avg_turns,heur_avg_agent_balance,self_agent_wins,self_opponent_wins,self_draws,self_avg_turns
600,0.05,0,0,3,61.0,73.67,0,0,3,44.0,80.67,3,0,0,27.0
700,0.05,0,0,3,60.67,148.33,0,0,3,58.33,42.33,3,0,0,27.0
800,0.05,0,0,3,61.0,87.33,0,0,3,41.33,85.33,3,0,0,27.0
900,0.05,0,0,3,61.67,92.67,0,0,3,61.0,17.0,3,0,0,27.0
1000,0.05,1,0,2,50.33,148.33,0,0,3,61.0,84.33,3,0,0,27.0
100,0.60577,0,0,3,61.0,31.0,0,0,3,61.0,8.67,0,0,3,55.67
200,0.366958,0,0,3,59.67,37.0,0,0,3,50.67,93.67,0,0,3,61.33
300,0.222292,0,0,3,61.0,35.33,0,0,3,61.0,50.0,1,0,2,45.67
400,0.134658,0,0,3,61.0,89.33,0,0,3,60.0,89.33,3,0,0,15.0
500,0.081572,0,0,3,60.33,40.33,0,0,3,59.33,98.33,3,0,0,15.0
600,0.05,0,0,3,43.67,125.0,0,0,3,61.0,68.0,3,0,0,15.0
700,0.05,1,0,2,45.67,139.33,0,0,3,61.0,37.67,3,0,0,15.0
800,0.05,1,0,2,54.33,139.67,0,0,3,61.0,56.0,3,0,0,15.0
900,0.05,1,0,2,51.67,151.33,0,0,3,55.33,96.0,3,0,0,15.0
1000,0.05,0,0,3,61.0,34.33,0,0,3,61.0,54.67,3,0,0,15.0
100,0.60577,0,0,3,61.0,19.67,0,0,3,61.0,45.33,0,0,3,61.0
200,0.366958,0,0,3,61.0,57.33,0,0,3,61.0,29.0,0,0,3,61.0
300,0.222292,0,0,3,60.67,46.0,0,0,3,61.0,44.0,0,0,3,61.0
400,0.134658,1,0,2,50.33,142.0,0,0,3,61.0,61.0,1,0,2,52.33
500,0.081572,0,0,3,58.67,67.0,0,0,3,61.0,23.67,3,0,0,17.0
600,0.05,0,0,3,61.33,43.33,0,0,3,61.0,59.67,3,0,0,17.0
700,0.05,0,0,3,59.67,89.0,0,0,3,61.0,41.0,3,0,0,17.0
800,0.05,0,0,3,61.0,63.33,0,0,3,61.0,67.33,3,0,0,17.0
900,0.05,0,1,2,47.33,33.33,0,0,3,61.33,4.0,3,0,0,17.0
1000,0.05,0,0,3,54.67,83.33,0,0,3,58.67,10.0,3,0,0,17.0
